date,value
2025-02-25,-5.478309
2025-02-26,-4.170142
2025-02-27,-7.897664
2025-02-28,-2.057842
2025-03-03,-12.131330
2025-03-04,-10.965767
2025-03-05,-2.755358
2025-03-06,-4.564431
2025-03-07,-2.866685
2025-03-10,-8.862876
2025-03-11,-7.889601
2025-03-12,-6.495679
2025-03-13,-12.357043
2025-03-14,-2.092050
2025-03-17,-0.446304
2025-03-18,-2.204241
2025-03-19,-0.167457
2025-03-20,-1.758303
2025-03-21,-3.738839
2025-03-24,-0.669269
2025-03-25,-3.404018
2025-03-26,-3.849372
2025-03-27,-2.398215
2025-03-28,-9.595537
2025-03-31,-10.549819
2025-04-01,-9.768351
2025-04-02,-1.645746
2025-04-03,-22.451829
2025-04-04,-28.031364
2025-04-07,-25.476457
2025-04-08,-34.765515
2025-04-09,-1.769663
2025-04-10,-6.861642
2025-04-11,-3.964015
2025-04-14,-2.529511
2025-04-15,-3.457970
2025-04-16,-5.797917
2025-04-17,-2.336054
2025-04-21,-6.608549
2025-04-22,-0.618673
2025-04-23,-0.168729
2025-04-24,0.168729
2025-04-25,-0.421822
2025-04-28,-0.449691
2025-04-29,-0.449817
2025-04-30,-1.040202
2025-05-01,-1.208884
2025-05-02,1.012658
2025-05-05,-0.815523
2025-05-06,-2.362205
2025-05-07,-1.885730
2025-05-08,-0.309685
2025-05-09,-0.816212
2025-05-12,1.406074
2025-05-13,1.125176
2025-05-14,-0.928270
2025-05-15,0.956399
2025-05-16,2.081575
2025-05-19,1.771654
2025-05-20,0.196850
2025-05-21,-2.587904
2025-05-22,-1.857062
2025-05-23,-1.913337
2025-05-27,1.913337
2025-05-28,-0.788288
2025-05-29,-0.056322
2025-05-30,-0.337933
2025-06-02,0.675676
2025-06-03,1.660101
2025-06-04,1.547552
2025-06-05,0.506329
2025-06-06,2.953586
2025-06-09,1.883610
2025-06-10,0.842933
2025-06-11,1.404889
2025-06-12,0.842223
2025-06-13,-2.328844
2025-06-16,0.841751
2025-06-17,-1.402131
2025-06-18,0.000000
2025-06-20,-0.448430
2025-06-23,1.485842
2025-06-24,2.746637
2025-06-25,0.308210
2025-06-26,3.333333
2025-06-27,2.660319
2025-06-30,2.547592
2025-07-01,2.686066
2025-07-02,4.643357
2025-07-03,6.515660
2025-07-07,1.873602
2025-07-08,1.873078
2025-07-09,3.158189
2025-07-10,4.108440
2025-07-11,1.200112
2025-07-14,2.651409
2025-07-15,-0.418527
2025-07-16,2.064732
2025-07-17,3.988842
2025-07-18,1.868377
2025-07-21,1.254880
2025-07-22,3.233900
2025-07-23,4.822972
2025-07-24,1.868377
2025-07-25,3.179030
2025-07-28,1.838952
2025-07-29,0.835887
2025-07-30,0.640847
2025-07-31,-1.504597
2025-08-01,-3.817219
2025-08-04,2.003339
2025-08-05,-0.111328
2025-08-06,-0.695991
2025-08-07,-0.723831
2025-08-08,-0.445558
2025-08-11,-1.141743
2025-08-12,5.148901
2025-08-13,6.486637
2025-08-14,1.475501
2025-08-15,0.500974
2025-08-18,1.141108
2025-08-19,0.194661
2025-08-20,0.528218
2025-08-21,0.556019
2025-08-22,7.226237
2025-08-25,3.307393
2025-08-26,5.113952
2025-08-27,5.726995
2025-08-28,4.477197
2025-08-29,2.474284
2025-09-02,1.194776
2025-09-03,0.972222
2025-09-04,4.887531
2025-09-05,3.331483
2025-09-08,3.802387
2025-09-09,1.830791
2025-09-10,1.359223
2025-09-11,6.879334
2025-09-12,1.858530
2025-09-15,2.773156
2025-09-16,1.745152
2025-09-17,1.799557
2025-09-18,6.923290
2025-09-19,2.353919
2025-09-22,3.379501
2025-09-23,1.633896
2025-09-24,1.135105
2025-09-25,-1.107420
2025-09-26,2.936288
2025-09-29,2.986726
2025-09-30,3.511197
2025-10-01,1.962410
2025-10-02,2.846090
2025-10-03,3.783485
2025-10-06,3.589177
2025-10-07,0.248344
2025-10-08,3.641379
2025-10-09,-0.220629
2025-10-10,-5.514199
2025-10-13,0.633958
2025-10-14,3.167172
2025-10-15,4.076012
2025-10-16,-1.294409
2025-10-17,-0.881300
2025-10-20,2.808370
2025-10-21,1.541426
2025-10-22,-0.302780
2025-10-23,2.504128
2025-10-24,3.435954
2025-10-27,3.294893
2025-10-28,0.768597
2025-10-29,-2.223442
2025-10-30,-3.347969
2025-10-31,-0.439078
2025-11-03,-2.552141
2025-11-04,-5.075446
2025-11-05,-0.054885
2025-11-06,-5.024712
2025-11-07,-1.592532
2025-11-10,0.192149
2025-11-11,1.481075
2025-11-12,0.932529
2025-11-13,-4.828532
2025-11-14,-4.389575
2025-11-17,-9.145839
2025-11-18,-4.639034
2025-11-19,-6.976105
2025-11-20,-9.837868
2025-11-21,0.741962
2025-11-24,1.895084
2025-11-25,5.683690
2025-11-26,5.024712
2025-11-28,3.924259
2025-12-01,1.262696
2025-12-02,0.000000
2025-12-03,4.030710
2025-12-04,3.674253
2025-12-05,2.987120
2025-12-08,2.575342
2025-12-09,3.344298
2025-12-10,8.303645
2025-12-11,9.041096
2025-12-12,3.478499
2025-12-15,1.836119
2025-12-16,0.109649
2025-12-17,-0.164474
2025-12-18,2.000548
